yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN,Fn_Castor,Ft_Castor
5.0,0.219688749936,350.0,5.723274417980463,3.665913642077702,8.758826477499133,5.376891972162556,9.64936138,5.51637499
5.0,0.235125874557,0.0,5.357920955617913,3.7003329795457174,7.105205452455508,4.6632706357510045,7.71382826,4.74740822
5.0,0.235125874557,10.0,5.365924010168906,3.710567377767442,7.129157499547579,4.703951954369363,7.73882366,4.78482396
5.0,0.235125874557,20.0,5.3805440760372365,3.738734640969068,7.159826139786172,4.76393798270471,7.77133562,4.84252651
5.0,0.235125874557,30.0,5.40140826370333,3.7841648875176603,7.19629664432892,4.841709537508542,7.81048792,4.91910647
5.0,0.235125874557,40.0,5.427982368433012,3.845756398836008,7.237565450616555,4.935239864625544,7.85518954,5.01266124
5.0,0.235125874557,50.0,5.459573673323345,3.921976900740015,7.282464277435275,5.042058513638488,7.90418215,5.12074523
5.0,0.235125874557,60.0,5.495336692054909,4.010870579197084,7.329637796998828,5.159241459257049,7.95612177,5.24046967
5.0,0.235125874557,70.0,5.5342839308117995,4.1100749856151015,7.377420968496689,5.283392408923512,8.00955749,5.36851761
5.0,0.235125874557,80.0,5.575303447147418,4.216852206794533,7.4244488259665316,5.410896567641724,8.06282253,5.50117409
5.0,0.235125874557,90.0,5.617184291377255,4.32813823259008,7.488037420479465,5.543300829076905,8.11394735,5.63436225
5.0,0.235125874557,100.0,5.658649969585697,4.440613287816949,7.529086853080765,5.6658912836693816,8.16114309,5.76390192
5.0,0.235125874557,110.0,5.698399041762913,4.550794052408586,7.564876932582504,5.7797652362269885,8.20293047,5.88560842
5.0,0.235125874557,120.0,5.735151036474395,4.655146349808842,7.594084878773162,5.881056469848121,8.23802984,5.99543695
5.0,0.235125874557,130.0,5.767695159757817,4.7502143215737656,7.615637776969748,5.966286641022463,8.26535334,6.08967156
5.0,0.235125874557,140.0,5.794938878038901,4.832759673454689,7.628925608318826,6.0325119186599645,8.283786,6.16493028
5.0,0.235125874557,150.0,5.815953379657151,4.8999026258191885,7.633464775537966,6.0773573997547246,8.29236376,6.21843926
5.0,0.235125874557,160.0,5.830013134121458,4.949255024568149,7.629287784608434,6.099335491384564,8.290813,6.24824694
5.0,0.235125874557,170.0,5.836627207621177,4.979035861755038,7.616574369371718,6.0977374834038685,8.27954214,6.25340592
5.0,0.235125874557,180.0,5.835560579805366,4.988160284548105,7.595784635396392,6.072615492761757,8.25907717,6.23379337
5.0,0.235125874557,190.0,5.826844365655511,4.976294971315,7.567697997488383,6.024976165510362,8.23021754,6.19016609
